QB Short,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted By,Draft Year,Salary,Index,ProfileLookup,HeightInInches,QBName,FixedImg,PlayerKey,CurrentTeam,IsCurrentStarter
"Flacco, J.",5,34,QB,1,1,245,6-6,"Pittsburgh,Delaware","Wednesday, January 16, 1985",11,,Baltimore Ravens,2008,"$18,500,000.",12,https://www.pro-football-reference.com/players/F/FlacJo00.htm,78,Joe Flacco,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FlacJo00_2019.jpg,DEN12,DEN,Yes
"Stafford, M.",9,31,QB,1,1,220,6-3,Georgia,"Sunday, February 7, 1988",10,,Detroit Lions,2009,"$13,500,000.",43,https://www.pro-football-reference.com/players/S/StafMa00.htm,75,Matthew Stafford,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/StafMa00_2019.jpg,DET43,DET,Yes
"Rodgers, A.",12,36,QB,1,1,225,6-2,"Butte JC (CA),California","Friday, December 2, 1983",14,,Green Bay Packers,2005,"$1,100,000.",37,https://www.pro-football-reference.com/players/R/RodgAa00.htm,74,Aaron Rodgers,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RodgAa00_2019.jpg,GNB37,GNB,Yes
"Watson, D.",4,24,QB,1,1,220,6-2,Clemson,"Thursday, September 14, 1995",2,,Houston Texans,2017,"$1,724,480.",50,https://www.pro-football-reference.com/players/W/WatsDe00.htm,74,Deshaun Watson,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WatsDe00_2019.jpg,HTX50,HTX,Yes
"Minshew, G.",15,23,QB,1,0,225,6-1,Washington St.,"Thursday, May 16, 1996",0,,Jacksonville Jaguars,2019,"$495,000.",31,https://www.pro-football-reference.com/players/M/MinsGa00.htm,73,Gardner Minshew,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MinsGa00_2019.jpg,JAX31,JAX,Yes
"Mahomes, P.",15,24,QB,1,1,230,6-3,Texas Tech,"Sunday, September 17, 1995",2,,Kansas City Chiefs,2017,"$645,000.",22,https://www.pro-football-reference.com/players/M/MahoPa00.htm,75,Patrick Mahomes,https://powerpivotpro.com/wp-content/uploads/2019/09/mahomes.jpg,KAN22,KAN,Yes
"Rosen, J.",3,22,QB,1,0,226,6-4,UCLA,"Monday, February 10, 1997",1,,Arizona Cardinals,2018,"$570,000.",42,https://www.pro-football-reference.com/players/R/RoseJo01.htm,76,Josh Rosen,https://powerpivotpro.com/wp-content/uploads/2019/09/rosen.jpg,MIA42,MIA,No
"Fitzpatrick, R.",14,37,QB,1,1,228,6-2,Harvard,"Wednesday, November 24, 1982",14,,St. Louis Rams,2005,"$1,500,000.",15,https://www.pro-football-reference.com/players/F/FitzRy00.htm,74,Ryan Fitzpatrick,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FitzRy00_2019.jpg,MIA15,MIA,Yes
"Cousins, K.",8,31,QB,1,1,202,6-3,Michigan St.,"Friday, August 19, 1988",7,,Washington Redskins,2012,"$27,500,000.",12,https://www.pro-football-reference.com/players/C/CousKi00.htm,75,Kirk Cousins,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CousKi00_2019.jpg,MIN12,MIN,Yes
"Brees, D.",9,40,QB,1,1,209,6-0,Purdue,"Monday, January 15, 1979",18,,San Diego Chargers,2001,"$1,400,000.",5,https://www.pro-football-reference.com/players/B/BreeDr00.htm,72,Drew Brees,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BreeDr00_2019.jpg,NOR5,NOR,No
"Bridgewater, T.",,,,,,,,,,,,,,,,,,Teddy Bridgewater,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BridTe00_2019.jpg,,NOR,Yes
"Brady, T.",12,42,QB,1,1,225,6-4,Michigan,"Wednesday, August 3, 1977",19,,New England Patriots,2000,"$14,000,000.",4,https://www.pro-football-reference.com/players/B/BradTo00.htm,76,Tom Brady,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BradTo00_2019.jpg,NWE4,NWE,Yes
"Jones, D.",8,22,QB,1,0,221,6-5,Duke,"Tuesday, May 27, 1997",0,,New York Giants,2019,"$495,000.",24,https://www.pro-football-reference.com/players/J/JoneDa05.htm,77,Daniel Jones,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JoneDa05_2019.jpg,NYG24,NYG,Yes
"Manning, E.",10,38,QB,1,1,220,6-5,Mississippi,"Saturday, January 3, 1981",15,,San Diego Chargers,2004,"$11,500,000.",28,https://www.pro-football-reference.com/players/M/MannEl00.htm,77,Eli Manning,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MannEl00_2019.jpg,NYG28,NYG,No
"Darnold, S.",14,22,QB,1,1,225,6-3,USC,"Thursday, June 5, 1997",1,,New York Jets,2018,"$570,000.",13,https://www.pro-football-reference.com/players/D/DarnSa00.htm,75,Sam Darnold,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DarnSa00_2019.jpg,NYJ13,NYJ,No
"Siemian, T.",,,,,,,,,,,,,,,,,,Trevor Siemian,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SiemTr00_2019.jpg,,NYJ,No
"Falk, L.",,,,,,,,,,,,,,,,,,Luke Falk,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FalkLu00_2019.jpg,,NYJ,Yes
"Mariota, M.",8,26,QB,1,1,222,6-4,Oregon,"Saturday, October 30, 1993",4,,Tennessee Titans,2015,"$20,922,000.",34,https://www.pro-football-reference.com/players/M/MariMa01.htm,76,Marcus Mariota,https://powerpivotpro.com/wp-content/uploads/2019/09/mariota.jpg,OTI34,OTI,Yes
"Wentz, C.",11,27,QB,1,1,237,6-5,North Dakota St.,"Wednesday, December 30, 1992",3,,Philadelphia Eagles,2016,"$720,000.",51,https://www.pro-football-reference.com/players/W/WentCa00.htm,77,Carson Wentz,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WentCa00_2019.jpg,PHI51,PHI,Yes
"Roethlisberger, B.",7,37,QB,1,1,240,6-5,Miami (OH),"Tuesday, March 2, 1982",15,,Pittsburgh Steelers,2004,"$2,500,000.",41,https://www.pro-football-reference.com/players/R/RoetBe00.htm,77,Ben Roethlisberger,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RoetBe00_2019.jpg,PIT41,PIT,No
"Rudolph, M.",,,,,,,,,,,,,,,,,,Mason Rudolph,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RudoMa00_2019.jpg,,PIT,Yes
"Carr, D.",4,28,QB,1,1,210,6-3,Fresno St.,"Thursday, March 28, 1991",5,,Oakland Raiders,2014,"$19,900,000.",4,https://www.pro-football-reference.com/players/C/CarrDe02.htm,75,Derek Carr,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CarrDe02_2019.jpg,RAI4,RAI,Yes
"Goff, J.",16,25,QB,1,1,222,6-4,California,"Friday, October 14, 1994",3,,Los Angeles Rams,2016,"$4,259,683.",16,https://www.pro-football-reference.com/players/G/GoffJa00.htm,76,Jared Goff,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GoffJa00_2019.jpg,RAM16,RAM,Yes
"Jackson, L.",8,22,QB,1,1,212,6-2,Louisville,"Tuesday, January 7, 1997",1,,Baltimore Ravens,2018,"$910,529.",23,https://www.pro-football-reference.com/players/J/JackLa00.htm,74,Lamar Jackson,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JackLa00_2019.jpg,RAV23,RAV,Yes
"Rivers, P.",17,38,QB,1,1,228,6-5,North Carolina St.,"Tuesday, December 8, 1981",15,,New York Giants,2004,"$11,000,000.",38,https://www.pro-football-reference.com/players/R/RivePh00.htm,77,Philip Rivers,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RivePh00_2019.jpg,SDG38,SDG,Yes
"Wilson, R.",3,31,QB,1,1,215,5-11,"Wisconsin,North Carolina St.","Tuesday, November 29, 1988",7,,Seattle Seahawks,2012,"$5,000,000.",50,https://www.pro-football-reference.com/players/W/WilsRu00.htm,71,Russell Wilson,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WilsRu00_2019.jpg,SEA50,SEA,Yes
"Garoppolo, J.",10,28,QB,1,1,225,6-2,East. Illinois,"Saturday, November 2, 1991",5,,New England Patriots,2014,"$17,200,000.",16,https://www.pro-football-reference.com/players/G/GaroJi00.htm,74,Jimmy Garoppolo,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GaroJi00_2019.jpg,SFO16,SFO,Yes
"Winston, J.",3,25,QB,1,1,231,6-4,Florida St.,"Thursday, January 6, 1994",4,,Tampa Bay Buccaneers,2015,"$20,922,000.",52,https://www.pro-football-reference.com/players/W/WinsJa00.htm,76,Jameis Winston,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WinsJa00_2019.jpg,TAM52,TAM,Yes
"Keenum, C.",8,31,QB,1,1,215,6-1,Houston,"Wednesday, February 17, 1988",7,,Undrafted,,"$3,500,000.",21,https://www.pro-football-reference.com/players/K/KeenCa00.htm,73,Case Keenum,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/KeenCa00_2019.jpg,WAS21,WAS,Yes
"Stidham, J.",,,,,,,,,,,,,,,,,,Jarrett Stidham,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/StidJa00_2019.jpg,,NWE,No
"Foles, N.",,,,,,,,,,,,,,,,,,Nick Foles,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FoleNi00_2019.jpg,,JAX,No
"McCown, J.",,,,,,,,,,,,,,,,,,Josh McCown,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/McCoJo01_2018.jpg,,NYJ,No
"Barkley, M.",,,,,,,,,,,,,,,,,,Matt Barkley,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BarkMa00_2019.jpg,,BUF,No
"Daniel, C.",,,,,,,,,,,,,,,,,,Chase Daniel,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DaniCh00_2019.jpg,,CHI,No
"Haskins, D.",,,,,,,,,,,,,,,,,,Dwayne Haskins,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HaskDw00_2019.jpg,,WAS,No
"Taylor, T.",,,,,,,,,,,,,,,,,,Tyrod Taylor,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TaylTy00_2019.jpg,,SDG,No
"Hodges, D.",,,,,,,,,,,,,,,,,,Devlin Hodges,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HodgDe00_2019.jpg,,PIT,No
"McCoy, C.",,,,,,,,,,,,,,,,,,Colt McCoy,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/McCoCo00_2019.jpg,,WAS,No
"Schaub, M.",,,,,,,,,,,,,,,,,,Matt Schaub,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SchaMa00_2019.jpg,,ATL,No
"Moore, M.",,,,,,,,,,,,,,,,,,Matt Moore,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MoorMa01_2017.jpg,,KAN,No
"Glennon, M.",,,,,,,,,,,,,,,,,,Mike Glennon,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GlenMi00_2019.jpg,,RAI,No
