teamcode,Season,No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted By,Draft Year,Salary,Index,PlayerKey,ProfileLookup,Player ID,PlayerImgurl,HeightInInches,Draft Pick (Overall),Draft Round,UPPERCASE
BUF,2019,26,Devin Singletary,22,RB,2,1,203,5-7,Florida Atlantic,"Wednesday, September 3, 1997",0,,Buffalo Bills,2019,"$495,000.",44,BUF44,https://www.pro-football-reference.com/players/S/SingDe00.htm,BUF44,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SingDe00_2019.jpg,67,,,DEVIN SINGLETARY
BUF,2019,89,Tommy Sweeney,24,TE,3,1,251,6-5,Boston Col.,"Saturday, July 1, 1995",0,,Buffalo Bills,2019,"$495,000.",48,BUF48,https://www.pro-football-reference.com/players/S/SweeTo00.htm,BUF48,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SweeTo00_2019.jpg,77,,,TOMMY SWEENEY
CAR,2019,53,Brian Burns,21,EDGE,3,3,250,6-5,Florida St.,"Thursday, April 23, 1998",0,,Carolina Panthers,2019,"$495,000.",6,CAR6,https://www.pro-football-reference.com/players/B/BurnBr00.htm,CAR6,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BurnBr00_2019.jpg,77,,,BRIAN BURNS
CAR,2019,65,Dennis Daley,23,OL,2,0,325,6-6,South Carolina,"Wednesday, August 7, 1996",0,,Carolina Panthers,2019,"$495,000.",10,CAR10,https://www.pro-football-reference.com/players/D/DaleDe00.htm,CAR10,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DaleDe00_2019.jpg,78,,,DENNIS DALEY
CAR,2019,3,Will Grier,24,QB,,,220,6-1,West Virginia,"Monday, April 3, 1995",0,,Carolina Panthers,2019,"$495,000.",13,CAR13,https://www.pro-football-reference.com/players/G/GrieWi00.htm,CAR13,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GrieWi00_2019.jpg,73,,,WILL GRIER
CAR,2019,74,Greg Little,22,OL,1,0,310,6-5,Mississippi,"Tuesday, November 4, 1997",0,,Carolina Panthers,2019,"$495,000.",24,CAR24,https://www.pro-football-reference.com/players/L/LittGr01.htm,CAR24,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/LittGr01_2019.jpg,77,,,GREG LITTLE
CAR,2019,50,Christian Miller,23,EDGE,3,0,245,6-3,Alabama,"Sunday, June 16, 1996",0,,Carolina Panthers,2019,"$495,000.",30,CAR30,https://www.pro-football-reference.com/players/M/MillCh04.htm,CAR30,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MillCh04_2019.jpg,75,,,CHRISTIAN MILLER
CAR,2019,20,Jordan Scarlett,23,RB,1,0,210,5-11,Florida,"Friday, February 9, 1996",0,,Carolina Panthers,2019,"$495,000.",41,CAR41,https://www.pro-football-reference.com/players/S/ScarJo00.htm,CAR41,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ScarJo00_2019.jpg,71,,,JORDAN SCARLETT
CHI,2019,32,David Montgomery,22,RB,3,2,222,5-10,Iowa St.,"Saturday, June 7, 1997",0,,Chicago Bears,2019,"$495,000.",31,CHI31,https://www.pro-football-reference.com/players/M/MontDa01.htm,CHI31,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MontDa01_2019.jpg,70,,,DAVID MONTGOMERY
CHI,2019,88,Riley Ridley,23,WR,,,200,6-1,Georgia,"Sunday, July 21, 1996",0,,Chicago Bears,2019,"$495,000.",37,CHI37,https://www.pro-football-reference.com/players/R/RidlRi00.htm,CHI37,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RidlRi00_2019.jpg,73,,,RILEY RIDLEY
CHI,2019,33,Duke Shelley,23,CB,3,0,183,5-8,Kansas St.,"Tuesday, October 8, 1996",0,,Chicago Bears,2019,"$495,000.",42,CHI42,https://www.pro-football-reference.com/players/S/ShelDu00.htm,CHI42,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ShelDu00_2019.jpg,68,,,DUKE SHELLEY
CHI,2019,38,"Kerrith Whyte, Jr.",23,RB,,,204,5-10,Florida Atlantic,"Thursday, October 31, 1996",0,,Chicago Bears,2019,"$495,000.",49,CHI49,https://www.pro-football-reference.com/players/W/WhytKe00.htm,CHI49,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WhytKe00_2019.jpg,70,,,"KERRITH WHYTE, JR"
CIN,2019,5,Ryan Finley,25,QB,,,207,6-4,North Carolina St.,"Monday, December 26, 1994",0,,Cincinnati Bengals,2019,"$495,000.",16,CIN16,https://www.pro-football-reference.com/players/F/FinlRy00.htm,CIN16,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FinlRy00_2019.jpg,76,,,RYAN FINLEY
CIN,2019,60,Michael Jordan,21,OL,2,2,315,6-6,Ohio St.,"Sunday, January 25, 1998",0,,Cincinnati Bengals,2019,"$495,000.",27,CIN27,https://www.pro-football-reference.com/players/J/JordMi01.htm,CIN27,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JordMi01_2019.jpg,78,,,MICHAEL JORDAN
CIN,2019,57,Germaine Pratt,23,LB,3,0,245,6-2,North Carolina St.,"Tuesday, May 21, 1996",0,,Cincinnati Bengals,2019,"$495,000.",35,CIN35,https://www.pro-football-reference.com/players/P/PratGe00.htm,CIN35,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/PratGe00_2019.jpg,74,,,GERMAINE PRATT
CIN,2019,89,Drew Sample,23,TE,3,0,258,6-4,Washington,"Tuesday, April 16, 1996",0,,Cincinnati Bengals,2019,"$495,000.",39,CIN39,https://www.pro-football-reference.com/players/S/SampDr00.htm,CIN39,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SampDr00_2019.jpg,76,,,DREW SAMPLE
CIN,2019,32,Trayveon Williams,22,RB,,,206,5-8,Texas A&M,"Saturday, October 18, 1997",0,,Cincinnati Bengals,2019,"$495,000.",48,CIN48,https://www.pro-football-reference.com/players/W/WillTr06.htm,CIN48,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WillTr06_2019.jpg,68,,,TRAYVEON WILLIAMS
CIN,2019,95,Renell Wren,24,DL,2,0,315,6-5,Arizona St.,"Monday, October 23, 1995",0,,Cincinnati Bengals,2019,"$495,000.",51,CIN51,https://www.pro-football-reference.com/players/W/WrenRe00.htm,CIN51,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WrenRe00_2019.jpg,77,,,RENELL WREN
CLE,2019,4,Austin Seibert,23,K,3,0,214,5-9,Oklahoma,"Friday, November 15, 1996",0,,Cleveland Browns,2019,"$495,000.",39,CLE39,https://www.pro-football-reference.com/players/S/SeibAu00.htm,CLE39,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SeibAu00_2019.jpg,69,,,AUSTIN SEIBERT
CLE,2019,44,Sione Takitaki,24,LB,2,0,238,6-1,BYU,"Thursday, June 8, 1995",0,,Cleveland Browns,2019,"$495,000.",41,CLE41,https://www.pro-football-reference.com/players/T/TakiSi00.htm,CLE41,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TakiSi00_2019.jpg,73,,,SIONE TAKITAKI
CLE,2019,26,Greedy Williams,22,CB,2,2,185,6-2,LSU,"Wednesday, December 3, 1997",0,,Cleveland Browns,2019,"$495,000.",51,CLE51,https://www.pro-football-reference.com/players/W/WillGr00.htm,CLE51,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WillGr00_2019.jpg,74,,,GREEDY WILLIAMS
CLE,2019,51,Mack Wilson,21,LB,3,1,240,6-1,Alabama,"Saturday, February 14, 1998",0,,Cleveland Browns,2019,"$495,000.",52,CLE52,https://www.pro-football-reference.com/players/W/WilsMa03.htm,CLE52,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WilsMa03_2019.jpg,73,,,MACK WILSON
CLT,2019,15,Parris Campbell,22,WR,3,0,205,6-0,Ohio St.,"Wednesday, July 16, 1997",0,,Indianapolis Colts,2019,"$495,000.",7,CLT7,https://www.pro-football-reference.com/players/C/CampPa00.htm,CLT7,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CampPa00_2019.jpg,72,,,PARRIS CAMPBELL
CLT,2019,58,Bobby Okereke,23,LB,3,1,235,6-1,Stanford,"Monday, July 29, 1996",0,,Indianapolis Colts,2019,"$495,000.",34,CLT34,https://www.pro-football-reference.com/players/O/OkerBo00.htm,CLT34,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/OkerBo00_2019.jpg,73,,,BOBBY OKEREKE
CLT,2019,39,Marvell Tell III,23,S,,,198,6-2,USC,"Friday, August 2, 1996",0,,Indianapolis Colts,2019,"$495,000.",43,CLT43,https://www.pro-football-reference.com/players/T/TellMa00.htm,CLT43,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TellMa00_2019.jpg,74,,,MARVELL TELL III
CLT,2019,37,Khari Willis,23,S,3,0,213,5-11,Michigan St.,"Tuesday, May 7, 1996",0,,Indianapolis Colts,2019,"$495,000.",50,CLT50,https://www.pro-football-reference.com/players/W/WillKh00.htm,CLT50,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WillKh00_2019.jpg,71,,,KHARI WILLIS
CLT,2019,34,Rock Ya-Sin,23,CB,3,1,192,6-0,Temple,"Thursday, May 23, 1996",0,,Indianapolis Colts,2019,"$495,000.",52,CLT52,https://www.pro-football-reference.com/players/Y/Ya-SRo00.htm,CLT52,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/Ya-SRo00_2019.jpg,72,,,ROCK YA-SIN
CRD,2019,97,Zach Allen,22,DL,3,1,281,6-4,Boston Col.,"Wednesday, August 20, 1997",0,,Arizona Cardinals,2019,"$495,000.",0,CRD0,https://www.pro-football-reference.com/players/A/AlleZa01.htm,CRD0,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AlleZa01_2019.jpg,76,,,ZACH ALLEN
CRD,2019,91,Michael Dogbe,23,DL,,,284,6-3,Temple,"Sunday, May 5, 1996",0,,Arizona Cardinals,2019,"$495,000.",10,CRD10,https://www.pro-football-reference.com/players/D/DogbMi00.htm,CRD10,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/DogbMi00_2019.jpg,75,,,MICHAEL DOGBE
CRD,2019,65,Lamont Gaillard,23,OL,,,305,6-3,Georgia,"Thursday, February 8, 1996",0,,Arizona Cardinals,2019,"$495,000.",14,CRD14,https://www.pro-football-reference.com/players/G/GailLa00.htm,CRD14,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GailLa00_2019.jpg,75,,,LAMONT GAILLARD
CRD,2019,89,Andy Isabella,23,WR,2,0,188,5-9,Massachusetts,"Monday, November 18, 1996",0,,Arizona Cardinals,2019,"$495,000.",21,CRD21,https://www.pro-football-reference.com/players/I/IsabAn00.htm,CRD21,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/IsabAn00_2019.jpg,69,,,ANDY ISABELLA
CRD,2019,19,KeeSean Johnson,23,WR,3,1,201,6-1,Fresno St.,"Wednesday, October 9, 1996",0,,Arizona Cardinals,2019,"$495,000.",23,CRD23,https://www.pro-football-reference.com/players/J/JohnKe07.htm,CRD23,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JohnKe07_2019.jpg,73,,,KEESEAN JOHNSON
CRD,2019,66,Joshua Miles,23,OT,1,0,314,6-5,Morgan St.,"Thursday, January 4, 1996",0,,Arizona Cardinals,2019,"$495,000.",30,CRD30,https://www.pro-football-reference.com/players/M/MileJo00.htm,CRD30,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MileJo00_2019.jpg,77,,,JOSHUA MILES
CRD,2019,33,Byron Murphy,21,CB,3,3,190,5-11,Washington,"Sunday, January 18, 1998",0,,Arizona Cardinals,2019,"$495,000.",32,CRD32,https://www.pro-football-reference.com/players/M/MurpBy00.htm,CRD32,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MurpBy00_2019.jpg,71,,,BYRON MURPHY
CRD,2019,1,Kyler Murray,22,QB,3,3,207,5-10,Oklahoma,"Thursday, August 7, 1997",0,,Arizona Cardinals,2019,"$495,000.",34,CRD34,https://www.pro-football-reference.com/players/M/MurrKy00.htm,CRD34,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MurrKy00_2019.jpg,70,,,KYLER MURRAY
CRD,2019,35,Deionte Thompson,22,S,3,1,195,6-1,Alabama,"Tuesday, February 11, 1997",0,,Arizona Cardinals,2019,"$495,000.",45,CRD45,https://www.pro-football-reference.com/players/T/ThomDe06.htm,CRD45,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ThomDe06_2019.jpg,73,,,DEIONTE THOMPSON
CRD,2019,34,Jalen Thompson,21,,2,0,190,5-11,Washington St.,"Saturday, July 18, 1998",0,,Arizona Cardinals,2019,"$495,000.",46,CRD46,https://www.pro-football-reference.com/players/T/ThomJa04.htm,CRD46,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ThomJa04_2019.jpg,71,,,JALEN THOMPSON
DAL,2019,79,Trysten Hill,21,DL,1,0,308,6-3,Oregon,"Wednesday, March 25, 1998",0,,Dallas Cowboys,2019,"$495,000.",18,DAL18,https://www.pro-football-reference.com/players/H/HillTr00.htm,DAL18,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HillTr00_2019.jpg,75,,,TRYSTEN HILL
DAL,2019,56,Joe Jackson,,EDGE,3,0,258,,Miami (FL),,0,,Dallas Cowboys,2019,"$495,000.",20,DAL20,https://www.pro-football-reference.com/players/J/JackJo02.htm,DAL20,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JackJo02_2019.jpg,,,,JOE JACKSON
DAL,2019,20,Tony Pollard,22,RB,3,0,209,6-0,Memphis,"Wednesday, April 30, 1997",0,,Dallas Cowboys,2019,"$495,000.",34,DAL34,https://www.pro-football-reference.com/players/P/PollTo00.htm,DAL34,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/PollTo00_2019.jpg,72,,,TONY POLLARD
DAL,2019,37,Donovan Wilson,22,S,1,0,204,6-0,Texas A&M,"Friday, March 14, 1997",0,,Dallas Cowboys,2019,"$495,000.",49,DAL49,https://www.pro-football-reference.com/players/W/WilsDo01.htm,DAL49,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WilsDo01_2019.jpg,72,,,DONOVAN WILSON
DEN,2019,87,Noah Fant,22,TE,3,2,249,6-4,Iowa,"Thursday, November 20, 1997",0,,Denver Broncos,2019,"$495,000.",11,DEN11,https://www.pro-football-reference.com/players/F/FantNo00.htm,DEN11,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FantNo00_2019.jpg,76,,,NOAH FANT
DEN,2019,52,Justin Hollins,23,EDGE,3,0,248,6-5,Oregon,"Monday, January 15, 1996",0,,Denver Broncos,2019,"$495,000.",21,DEN21,https://www.pro-football-reference.com/players/H/HollJu00.htm,DEN21,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HollJu00_2019.jpg,77,,,JUSTIN HOLLINS
DEN,2019,93,Dre'Mont Jones,22,DL,2,0,281,6-3,Ohio St.,"Sunday, January 5, 1997",0,,Denver Broncos,2019,"$495,000.",27,DEN27,https://www.pro-football-reference.com/players/J/JoneDr00.htm,DEN27,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JoneDr00_2019.jpg,75,,,DREMONT JONES
DEN,2019,66,Dalton Risner,24,OL,3,3,312,6-5,Kansas St.,"Thursday, July 13, 1995",0,,Denver Broncos,2019,"$495,000.",40,DEN40,https://www.pro-football-reference.com/players/R/RisnDa00.htm,DEN40,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RisnDa00_2019.jpg,77,,,DALTON RISNER
DEN,2019,15,Juwann Winfree,23,WR,1,0,215,6-3,Colorado,"Wednesday, September 4, 1996",0,,Denver Broncos,2019,"$495,000.",50,DEN50,https://www.pro-football-reference.com/players/W/WinfJu00.htm,DEN50,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WinfJu00_2019.jpg,75,,,JUWANN WINFREE
DET,2019,14,Travis Fulgham,24,WR,,,215,6-2,Old Dominion,"Wednesday, September 13, 1995",0,,Detroit Lions,2019,"$495,000.",16,DET16,https://www.pro-football-reference.com/players/F/FulgTr00.htm,DET16,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/FulgTr00_2019.jpg,74,,,TRAVIS FULGHAM
DET,2019,25,Will Harris,21,S,3,0,207,6-1,Boston Col.,"Saturday, December 19, 1998",0,,Detroit Lions,2019,"$495,000.",21,DET21,https://www.pro-football-reference.com/players/H/HarrWi02.htm,DET21,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HarrWi02_2019.jpg,73,,,WILL HARRIS
DET,2019,88,T.J. Hockenson,22,TE,3,2,247,6-5,Iowa,"Thursday, July 3, 1997",0,,Detroit Lions,2019,"$495,000.",23,DET23,https://www.pro-football-reference.com/players/H/HockTJ00.htm,DET23,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HockTJ00_2019.jpg,77,,,TJ HOCKENSON
DET,2019,31,Ty Johnson,,WR,3,0,210,5-10,Maryland,,0,,Detroit Lions,2019,"$495,000.",26,DET26,https://www.pro-football-reference.com/players/J/JohnTy02.htm,DET26,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JohnTy02_2019.jpg,70,,,TY JOHNSON
DET,2019,24,Amani Oruwariye,23,CB,,,205,6-2,Penn St.,"Friday, February 9, 1996",0,,Detroit Lions,2019,"$495,000.",37,DET37,https://www.pro-football-reference.com/players/O/OruwAm00.htm,DET37,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/OruwAm00_2019.jpg,74,,,AMANI ORUWARIYE
DET,2019,51,Jahlani Tavai,23,LB,3,2,250,6-2,Hawaii,"Saturday, September 28, 1996",0,,Detroit Lions,2019,"$495,000.",46,DET46,https://www.pro-football-reference.com/players/T/TavaJa00.htm,DET46,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TavaJa00_2019.jpg,74,,,JAHLANI TAVAI
GNB,2019,74,Elgton Jenkins,24,OL,3,1,311,6-5,Mississippi St.,"Tuesday, December 26, 1995",0,,Green Bay Packers,2019,"$495,000.",21,GNB21,https://www.pro-football-reference.com/players/J/JenkEl00.htm,GNB21,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JenkEl00_2019.jpg,77,,,ELGTON JENKINS
GNB,2019,96,Kingsley Keke,23,DL,1,0,288,6-3,Texas A&M,"Thursday, September 26, 1996",0,,Green Bay Packers,2019,"$495,000.",23,GNB23,https://www.pro-football-reference.com/players/K/KekeKi00.htm,GNB23,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/KekeKi00_2019.jpg,75,,,KINGSLEY KEKE
HTX,2019,28,Xavier Crawford,24,CB,2,0,187,5-11,Central Michigan,"Sunday, December 10, 1995",0,,Houston Texans,2019,"$495,000.",8,HTX8,https://www.pro-football-reference.com/players/C/CrawXa00.htm,HTX8,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/CrawXa00_2019.jpg,71,,,XAVIER CRAWFORD
HTX,2019,44,Cullen Gillaspia,24,RB,3,0,235,6-2,Texas A&M,"Tuesday, June 6, 1995",0,,Houston Texans,2019,"$495,000.",17,HTX17,https://www.pro-football-reference.com/players/G/GillCu00.htm,HTX17,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/GillCu00_2019.jpg,74,,,CULLEN GILLASPIA
HTX,2019,71,Tytus Howard,23,,2,2,322,6-5,Alabama St.,"Thursday, May 23, 1996",0,,Houston Texans,2019,"$495,000.",21,HTX21,https://www.pro-football-reference.com/players/H/HowaTy00.htm,HTX21,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/HowaTy00_2019.jpg,77,,,TYTUS HOWARD
HTX,2019,32,Lonnie Johnson,22,CB,3,2,213,6-2,Kentucky,"Saturday, May 31, 1997",0,,Houston Texans,2019,"$495,000.",25,HTX25,https://www.pro-football-reference.com/players/J/JohnLo01.htm,HTX25,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/JohnLo01_2019.jpg,74,,,LONNIE JOHNSON
HTX,2019,94,Charles Omenihu,22,DL,2,0,280,6-5,Texas,"Wednesday, August 20, 1997",0,,Houston Texans,2019,"$495,000.",40,HTX40,https://www.pro-football-reference.com/players/O/OmenCh00.htm,HTX40,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/OmenCh00_2019.jpg,77,,,CHARLES OMENIHU
HTX,2019,74,Max Scharping,23,OT,3,1,327,6-6,Northern Illinois,"Saturday, August 10, 1996",0,,Houston Texans,2019,"$495,000.",46,HTX46,https://www.pro-football-reference.com/players/S/SchaMa01.htm,HTX46,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SchaMa01_2019.jpg,78,,,MAX SCHARPING
JAX,2019,41,Josh Allen,22,EDGE,3,3,262,6-5,Kentucky,"Sunday, July 13, 1997",0,,Jacksonville Jaguars,2019,"$495,000.",1,JAX1,https://www.pro-football-reference.com/players/A/AlleJo03.htm,JAX1,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/AlleJo03_2019.jpg,77,,,JOSH ALLEN
JAX,2019,23,Ryquell Armstead,23,RB,3,0,220,5-11,Temple,"Wednesday, October 30, 1996",0,,Jacksonville Jaguars,2019,"$495,000.",2,JAX2,https://www.pro-football-reference.com/players/A/ArmsRy00.htm,JAX2,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/ArmsRy00_2019.jpg,71,,,RYQUELL ARMSTEAD
JAX,2019,15,Gardner Minshew,23,QB,3,2,225,6-1,Washington St.,"Thursday, May 16, 1996",0,,Jacksonville Jaguars,2019,"$495,000.",31,JAX31,https://www.pro-football-reference.com/players/M/MinsGa00.htm,JAX31,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MinsGa00_2019.jpg,73,,,GARDNER MINSHEW
JAX,2019,89,Josh Oliver,22,TE,,,250,6-5,San Jose St.,"Friday, March 21, 1997",0,,Jacksonville Jaguars,2019,"$495,000.",36,JAX36,https://www.pro-football-reference.com/players/O/OlivJo00.htm,JAX36,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/OlivJo00_2019.jpg,77,,,JOSH OLIVER
JAX,2019,98,Dontavius Russell,24,DL,2,0,320,6-3,Auburn,"Monday, September 18, 1995",0,,Jacksonville Jaguars,2019,"$495,000.",43,JAX43,https://www.pro-football-reference.com/players/R/RussDo00.htm,JAX43,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/RussDo00_2019.jpg,75,,,DONTAVIUS RUSSELL
JAX,2019,75,Jawaan Taylor,22,OL,3,3,312,6-5,Florida,"Tuesday, November 25, 1997",0,,Jacksonville Jaguars,2019,"$495,000.",47,JAX47,https://www.pro-football-reference.com/players/T/TaylJa02.htm,JAX47,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/TaylJa02_2019.jpg,77,,,JAWAAN TAYLOR
JAX,2019,56,Quincy Williams,23,,3,3,226,5-11,,"Wednesday, August 28, 1996",0,,Jacksonville Jaguars,2019,"$495,000.",50,JAX50,https://www.pro-football-reference.com/players/W/WillQu01.htm,JAX50,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/WillQu01_2019.jpg,71,,,QUINCY WILLIAMS
